,Node,Alamat,Link,lat,long,
,0,Disperindag Surabaya,Link,-7.2561351,112.7375274,
,1,JL. DUPAK RUKUN 72AB,Link,-7.24931,112.71059,v
,2,JL. KUPANG JAYA NO.2A,Link,-7.27527,112.70745,v
,3,LOKASI DESA TAMBAK LANGON TANDES,Link,-7.22875,112.67660,
,4,JL. TAMBAK OSOWILANGON SEMEMI,Link,-7.21345,112.65328,
,5,JL. SIMOPOMAHAN 23 P,Link,-7.26599,112.70664,
5460173,6,JL. RAYA PAKAL 104 KEC.BENOWO,Link,-7.23658,112.61863,
5460175,7,JL. TANJUNGSARI,Link,-7.25944,112.69362,
5460194,8,JL. RAYA MARGOMULYO NO. 33,Link,-7.24384,112.68200,
5460255,9,JL. RAYA MENGANTI 772,Link,-7.30797,112.67200,
5460263,10,JL.MAY.JEND. HR MUHAMMAD 4850,SPBU Pertamina 54.602.63,-7.2854837,112.6975433,
54601105,11,JL.RY MENGANTI LIDAH WETAN 139,Link,-7.3068536,112.6635302,v
54601112,12,JL. RAYA MARGOMULYO NO. 30,Link,-7.24545,112.68331,
54601119,13,JL.CITRA RAYA BOULEVARD B TX1,Link,-7.30029,112.66218,
5460245,14,JL. HR. MUHAMMAD NO.113 PRADAH KALI,Link,-7.28422,112.69117,
5460123,15,JL. ARJUNO,Link,-7.25774,112.72763,
5460180,16,JL. A YANI 204,SPBU Pertamina 54.601.80 - A. Yani,-7.3339941,112.7297315,
5460188,17,JL. SULAWESI NO. 8,Link,-7.27686,112.74617,v
5460196,18,JL. ARJUNO NO.80 (ARJUNOBROMO),Link,-7.26275,112.72635,v
5460213,19,JL. MAYJEN SUNGKONO NO.47,Link,-7.29159,112.72329,v
5460248,20,JL. JAGIR WONOKROMO,Link,-7.30558,112.76019,
5460249,21,JL. MASTRIP 237 KARANGPILANG,SPBU Pertamina 54.602.49 Mastrip Kedurus,-7.3163335,112.7094794,
5460250,22,JL. MASTRIP KEDURUS,SPBU Pertamina 54.602.50,-7.3390711,112.6997538,
5460253,23,JL. GUNUNGSARI NO. 53,Link,-7.30672,112.72288,
5460262,24,JL. RAYA MENGANTI 250,Link,-7.31282,112.69860,
5460268,25,JL. JOYOBOYO,Link,-7.29733,112.73158,
54601100,26,JL. RAYA NGAGEL 185 KEC. WONOKROMO,Link,-7.29651,112.74243,
54601106,27,JL. TIDAR NO. 127141,Link,-7.25619,112.71920,v
54601107,28,JL. KEBONSARI TENGAH NO. 7065,SPBU Pertamina Kebonsari 54.601.107,-7.3279698,112.7109819,
54601111,29,JL. RAYA MARGOREJO INDAH 146A,Link,-7.31802,112.74552,
54601114,30,JL. BALAS KEL. BALAS KLUMPRIK,Link,-7.33240,112.69190,
5460102,31,JL. MULYOSARI 388  KEC.SUKOLILO,Link,-7.26868,112.79783,
5460103,32,JL.KAPAS KRAMPUNG NO.99,Link,-7.24991,112.76470,
5460106,33,JL. RAYA DHARMAHUSADA 114116,Link,-7.26500,112.76854,
5460115,34,JL. KENJERAN NO.661,Link,-7.25147,112.79172,
