No.,Lokasi,Alamat,Koordinat Lengkap,Latitude (x),Longitude (y),Link,Personal Notes
000,"PT. PANCAPUTRA MITRATAMA MANDIRI, Distributor Resmi Pelumas Shell Area Jawa Timur","Jl. Kupang Indah I No.11, Sonokwijenan, Kec. Sukomanunggal, Surabaya, Jawa Timur 60189","-7.27812444821835 , 112.70608231141121",-7.27812444821835,112.70608231141121,( https://maps.app.goo.gl/E8QhLCy53qf7AMgs9 ), Fachry: Ini benar gini kah?
001,SPBU Shell Jl. Kenjeran,"Jl. Kenjeran No.591, Kalijudan, Kec. Mulyorejo, Surabaya, Jawa Timur 60114","-7.250108373627991 , 112.78758001648886",-7.250108373627991,112.78758001648886,( https://maps.app.goo.gl/8i1C6hv1zw6rmrQn7 ),
002,SPBU Shell Jl. Kalijudan No. 24,"Jl. Kalijudan No.24, Kalijudan, Kec. Mulyorejo, Surabaya, Jawa Timur 60132","-7.259273183674801 , 112.77389577723869",-7.259273183674801,112.77389577723869,( https://maps.app.goo.gl/ixhcnjSuVZPZ3nrU9 ),
003,SPBU Shell Jl. Raya Kertajaya Indah,"Jl. Raya Kertajaya Indah No.143, Gebang Putih, Kec. Sukolilo, Surabaya, Jawa Timur 60117","-7.277387439054242 , 112.78924924311214",-7.277387439054242,112.78924924311214,( https://maps.app.goo.gl/AzEYsRY8SS5SVMjR7 ),
004,SPBU Shell MERR,"Jl. Raya Kedung Baruk Utara No.19, Kedung Baruk, Kec. Rungkut, Surabaya, Jawa Timur 60298","-7.310249997271071 , 112.78118112930564",-7.310249997271071,112.78118112930564,( https://maps.app.goo.gl/jU65RswvBSy2duRb8 ),
005,SPBU Shell Raya Tenggilis-1,"Jl. Raya Tenggilis No.94, Tenggilis Mejoyo, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60292","-7.317741653656862 , 112.75629026847886",-7.317741653656862,112.75629026847886,( https://maps.app.goo.gl/Ucq6kJsGNUSRQqre9 ),
006,SPBU Shell - Margorejo,"Jl. Margorejo Indah No.D202, Sidosermo, Kec. Wonocolo, Surabaya, Jawa Timur 60239","-7.313995847530877 , 112.75045378153659",-7.313995847530877,112.75045378153659,( https://maps.app.goo.gl/EeKwZi6ibkDHn8XT7 ),
007,SPBU Shell Jl. Raya Prapen,"Jl. Raya Prapen No.50, Panjang Jiwo, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60299","-7.307696011806386 , 112.76092512575651",-7.307696011806386,112.76092512575651,( https://maps.app.goo.gl/ZM6bbWtmftDG18gT8 ),
008,SPBU Shell Jl.Raya Jemursari,"Jl. Raya Jemursari No.155, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237","-7.323190012167208 , 112.73294427538214",-7.323190012167208,112.73294427538214,( https://maps.app.goo.gl/1JgSi7NRxfiKprWv7 ),
009,"SPBU Shell Mastrip - Kedurus, Karangpilang","Jl. Mastrip Raya No.147, Karang Pilang, Kec. Karangpilang, Surabaya, Jawa Timur 60221","-7.321998127600777 , 112.70942666773004",-7.321998127600777,112.70942666773004,( https://maps.app.goo.gl/bZrrouZw2U948c1w5 ),
